Player ID,Team,Stolen Bases (SB),Caught Stealing (CS),Stolen Bases Percentage
huntebr02,2001 Phillies,14,3,.824
huntebr02,2002 Astros,5,0,1.000
huntebr02,2003 Astros,0,0,.000
huntebr02,Career,SB,CS,SB%
huntebr02,10 Years,260,61,.810
ricesa01,Team,SB,CS,SB%
ricesa01,1915 Senators,0,0,.000
ricesa01,1916 Senators,4,0,1.000
ricesa01,1917 Senators,35,-,-
ricesa01,1918 Senators,1,-,-
ricesa01,1919 Senators,26,-,-
ricesa01,1920 Senators,63,30,.677
ricesa01,1921 Senators,26,12,.684
ricesa01,1922 Senators,20,9,.690
ricesa01,1923 Senators,20,8,.714
ricesa01,1924 Senators,24,13,.649
ricesa01,1925 Senators,26,11,.703
ricesa01,1926 Senators,24,23,.511
ricesa01,1927 Senators,19,6,.760
ricesa01,1928 Senators,16,3,.842
ricesa01,1929 Senators,16,8,.667
ricesa01,1930 Senators,13,8,.619
ricesa01,1931 Senators,6,5,.545
ricesa01,1932 Senators,7,4,.636
ricesa01,1933 Senators,0,2,.000
ricesa01,1934 Indians,5,1,.833
ricesa01,Career,SB,CS,SB%
ricesa01,20 Years,351,143,.711
soriaal01,Team,SB,CS,SB%
soriaal01,1999 Yankees,0,1,.000
soriaal01,2000 Yankees,2,0,1.000
soriaal01,2001 Yankees,43,14,.754
soriaal01,2002 Yankees,41,13,.759
soriaal01,2003 Yankees,35,8,.814
soriaal01,2004 Rangers,18,5,.783
soriaal01,2005 Rangers,30,2,.938
soriaal01,2006 Nationals,41,17,.707
soriaal01,2007 Cubs,19,6,.760
soriaal01,2008 Cubs,19,3,.864
soriaal01,2009 Cubs,9,2,.818
soriaal01,2010 Cubs,5,1,.833
soriaal01,2011 Cubs,2,1,.667
soriaal01,2012 Cubs,6,2,.750
soriaal01,2013 Cubs,10,5,.667
soriaal01,2013 Yankees,8,4,.667
soriaal01,2014 Yankees,1,0,1.000
soriaal01,Career,SB,CS,SB%
soriaal01,16 Years,289,84,.775
vaughar01,Team,SB,CS,SB%
vaughar01,1932 Pirates,10,10,.500
vaughar01,1933 Pirates,3,11,.214
vaughar01,1934 Pirates,10,4,.714
vaughar01,1935 Pirates,4,7,.364
vaughar01,1936 Pirates,6,9,.400
vaughar01,1937 Pirates,7,8,.467
vaughar01,1938 Pirates,14,8,.636
vaughar01,1939 Pirates,12,5,.706
vaughar01,1940 Pirates,12,10,.545
vaughar01,1941 Pirates,8,3,.727
vaughar01,1942 Dodgers,8,2,.800
vaughar01,1943 Dodgers,20,11,.645
vaughar01,1947 Dodgers,4,1,.800
vaughar01,1948 Dodgers,0,1,.000
vaughar01,Career,SB,CS,SB%
vaughar01,14 Years,118,90,.567
colemvi01,Team,SB,CS,SB%
colemvi01,1985 Cardinals,110,25,.815
colemvi01,1986 Cardinals,107,14,.884
colemvi01,1987 Cardinals,109,22,.832
colemvi01,1988 Cardinals,81,27,.750
colemvi01,1989 Cardinals,65,10,.867
colemvi01,1990 Cardinals,77,17,.819
colemvi01,1991 Mets,37,14,.725
colemvi01,1992 Mets,24,9,.727
colemvi01,1993 Mets,38,13,.745
colemvi01,1994 Royals,50,8,.862
colemvi01,1995 Royals,26,9,.743
colemvi01,1995 Mariners,16,7,.696
colemvi01,1996 Reds,12,2,.857
colemvi01,1997 Tigers,0,0,.000
colemvi01,Career,SB,CS,SB%
colemvi01,13 Years,752,177,.809
loftoke01,Team,SB,CS,SB%
loftoke01,1991 Astros,2,1,.667
loftoke01,1992 Indians,66,12,.846
loftoke01,1993 Indians,70,14,.833
loftoke01,1994 Indians,60,12,.833
loftoke01,1995 Indians,54,15,.783
loftoke01,1996 Indians,75,17,.815
loftoke01,1997 Braves,27,20,.574
loftoke01,1998 Indians,54,10,.844
loftoke01,1999 Indians,25,6,.806
loftoke01,2000 Indians,30,7,.811
loftoke01,2001 Indians,16,8,.667
loftoke01,2002 White Sox,22,8,.733
loftoke01,2002 Giants,7,3,.700
loftoke01,2003 Pirates,18,5,.783
loftoke01,2003 Cubs,12,4,.750
loftoke01,2004 Yankees,7,3,.700
loftoke01,2005 Phillies,22,3,.880
loftoke01,2006 Dodgers,32,5,.865
loftoke01,2007 Rangers,21,4,.840
loftoke01,2007 Indians,2,3,.400
loftoke01,Career,SB,CS,SB%
loftoke01,17 Years,622,160,.795
galanau01,Team,SB,CS,SB%
galanau01,1934 Cubs,4,1,.800
galanau01,1935 Cubs,22,15,.595
galanau01,1936 Cubs,16,12,.571
galanau01,1937 Cubs,23,19,.548
galanau01,1938 Cubs,8,6,.571
galanau01,1939 Cubs,8,4,.667
galanau01,1940 Cubs,9,2,.818
galanau01,1941 Cubs,0,0,.000
galanau01,1941 Dodgers,0,0,.000
galanau01,1942 Dodgers,2,8,.200
galanau01,1943 Dodgers,6,12,.333
galanau01,1944 Dodgers,4,6,.400
galanau01,1945 Dodgers,13,14,.481
galanau01,1946 Dodgers,8,2,.800
galanau01,1947 Reds,0,1,.000
galanau01,1948 Reds,0,2,.000
galanau01,1949 Giants,0,0,.000
galanau01,1949 Athletics,0,0,.000
galanau01,Career,SB,CS,SB%
galanau01,16 Years,123,104,.542
hartsto01,Team,SB,CS,SB%
hartsto01,1898 Colonels,2,-,-
hartsto01,1899 Colonels,1,-,-
hartsto01,1900 Reds,7,-,-
hartsto01,1901 Orphans,41,-,-
hartsto01,1902 Athletics,47,-,-
hartsto01,1903 Athletics,13,-,-
hartsto01,1904 Athletics,19,-,-
hartsto01,1905 Athletics,37,-,-
hartsto01,1906 Athletics,31,-,-
hartsto01,1907 Athletics,20,-,-
hartsto01,1908 Athletics,15,-,-
hartsto01,1909 Athletics,3,-,-
hartsto01,1910 Athletics,11,-,-
hartsto01,1911 Athletics,0,-,-
hartsto01,Career,SB,CS,SB%
hartsto01,14 Years,247,-,-
hackst01,Team,SB,CS,SB%
hackst01,1932 Cubs,5,3,.625
