Year,League,Player ID,Player Name,Team,Bases Stolen
1923,National League,careyma01,Max Carey,Pittsburgh,51
1924,American League,collied01,Eddie Collins,Chicago,42
1924,National League,careyma01,Max Carey,Pittsburgh,49
1925,American League,mostijo01,Johnny Mostil,Chicago,43
1925,National League,careyma01,Max Carey,Pittsburgh,46
1926,American League,mostijo01,Johnny Mostil,Chicago,35
1926,National League,cuyleki01,Kiki Cuyler,Pittsburgh,35
1927,American League,sislege01,George Sisler,St. Louis,27
1927,National League,friscfr01,Frankie Frisch,St. Louis,48
1928,American League,myerbu01,Buddy Myer,Boston,30
1928,National League,cuyleki01,Kiki Cuyler,Chicago,37
1929,American League,gehrich01,Charlie Gehringer,Detroit,27
1929,National League,cuyleki01,Kiki Cuyler,Chicago,43
1930,American League,mcmanma01,Marty McManus,Detroit,23
1930,National League,cuyleki01,Kiki Cuyler,Chicago,37
1931,American League,chapmbe01,Ben Chapman,New York,61
1931,National League,friscfr01,Frankie Frisch,St. Louis,28
1932,American League,chapmbe01,Ben Chapman,New York,38
1932,National League,kleinch01,Chuck Klein,Philadelphia,20
1933,American League,chapmbe01,Ben Chapman,New York,27
1933,National League,martipe01,Pepper Martin,St. Louis,26
1934,American League,werbebi01,Billy Werber,Boston,40
1934,National League,martipe01,Pepper Martin,St. Louis,23
1935,American League,werbebi01,Billy Werber,Boston,29
1935,National League,galanau01,Augie Galan,Chicago,22
1936,American League,laryly01,Lyn Lary,St. Louis,37
1936,National League,martipe01,Pepper Martin,St. Louis,23
1937,American League,chapmbe01,Ben Chapman,Boston,35
1937,National League,galanau01,Augie Galan,Chicago,23
1938,American League,crosefr01,Frankie Crosetti,New York,27
1938,National League,hackst01,Stan Hack,Chicago,16
1939,American League,casege01,George Case,Washington,51
1939,National League,hackst01,Stan Hack,Chicago,17
1940,American League,casege01,George Case,Washington,35
1940,National League,freylo01,Lonny Frey,Cincinnati,22
1941,American League,casege01,George Case,Washington,33
1941,National League,murtada01,Danny Murtaugh,Philadelphia,18
1942,American League,casege01,George Case,Washington,44
1942,National League,reisepe01,Pete Reiser,Brooklyn,20
1943,American League,casege01,George Case,Washington,61
1943,National League,vaughar01,Arky Vaughan,Brooklyn,20
1944,American League,stirnsn01,Snuffy Stirnweiss,New York,55
1944,National League,barrejo01,Johnny Barrett,Pittsburgh,28
1945,American League,stirnsn01,Snuffy Stirnweiss,New York,33
1945,National League,schoere01,Red Schoendienst,St. Louis,26
1946,American League,casege01,George Case,Cleveland,28
1946,National League,reisepe01,Pete Reiser,Brooklyn,34
1947,American League,dillibo01,Bob Dillinger,St. Louis,34
1947,National League,robinja02,Jackie Robinson,Brooklyn,29
